name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Super Fantasy Kingdom,"Steam, GOG",2025-10-24,0.0,0,0,178,0,PC,"Strategy, RPG, Simulation"
Mind Diver,Steam,2025-09-28,0.0,0,0,240,0,PC,"Indie, Adventure"
Cursed Digicam | 呪われたデジカメ,Steam,2025-01-09,0.0,0,0,148,0,PC,Indie
Lingo 2,Steam,2025-03-13,0.0,0,0,69,0,PC,"Indie, Adventure"
Without a Dawn,Steam,2025-05-19,0.0,0,0,107,0,PC,Indie
Click and Conquer,Steam,2025-06-25,0.0,0,0,76,0,PC,"Casual, Strategy, Simulation"
Beneath,"Steam, GOG",2025-10-27,0.0,0,0,595,0,PC,"Adventure, Action"
Orphans,"Steam, App Store",2025-04-18,0.0,0,1,179,1,"PC, PlayStation, Xbox, iOS, Nintendo","Indie, Platformer, Adventure"
Dungeons of Eternity,Steam,2025-09-11,0.0,0,0,147,0,PC,"Indie, Adventure, Action, RPG"
Ithya: Magic Studies,Steam,2025-05-07,0.0,0,0,214,0,PC,Casual
The Love's Ordeal,Steam,2025-07-19,0.0,0,2,457,2,PC,"Casual, Indie, RPG, Simulation"
Tom Clancy's The Division 2 - Battle for Brooklyn,,2025-05-27,0.0,0,2,218,2,"PC, PlayStation, Xbox",Action
Radiolight,"Steam, GOG",2025-10-22,0.0,0,1,180,1,PC,"Indie, Adventure"
Temple of the Green Moon,Steam,2025-09-03,0.0,0,0,210,0,PC,"Adventure, Action"
Burgie's cozy kitchen,Steam,2025-02-10,0.0,0,0,78,0,PC,"Casual, Simulation"
Project Silverfish,Steam,2025-06-25,0.0,0,0,433,0,PC,"Indie, Adventure, Action"
Escape The Mad Empire,Steam,2025-04-22,0.0,0,0,468,0,PC,"Strategy, Indie, RPG"
There Are No Orcs,Steam,2025-11-05,0.0,0,0,164,1,PC,"Strategy, Indie"
Tales of Old: Dominus,Steam,2025-11-03,0.0,0,0,571,0,PC,"Adventure, Action, RPG, Simulation"
Tavern Keeper 🍻,Steam,2025-11-03,0.0,0,0,514,0,PC,"Strategy, Indie, RPG, Simulation"
Demonic Mahjong,Steam,2025-07-15,0.0,0,0,351,0,PC,"Casual, Strategy"
Second Sun,"Steam, GOG, itch.io",2025-11-04,0.0,0,0,36,0,PC,"Shooter, Adventure, Action, RPG, Indie"
Castle of Secrets,Steam,2025-05-22,0.0,0,1,592,1,PC,"Indie, Adventure"
Windswept,"Steam, GOG",2025-11-10,0.0,0,0,205,0,PC,"Indie, Adventure, Action"
Consume Me,Steam,2025-09-24,0.0,0,0,98,0,"PC, Apple Macintosh","Strategy, Indie, RPG"
Backseat Drivers,Steam,2025-10-09,0.0,0,2,217,2,PC,"Casual, Racing, Indie, Simulation"
PAGER,Steam,2025-08-06,0.0,0,0,0,0,PC,"Indie, Adventure, Simulation"
OMEGA 6 The Triangle Stars,Steam,2025-02-28,0.0,0,0,351,0,PC,Adventure
AV Director Life!,Steam,2025-09-28,0.0,0,1,153,1,PC,"Casual, Indie, Simulation"
Battle Suit Aces,Steam,2025-10-07,0.0,0,0,21,0,"PC, Apple Macintosh","Card, Strategy, Indie, RPG"
"Love, Internet, and Murder Magic",Steam,2025-01-13,0.0,0,0,36,0,PC,Indie
Aotenjo: Infinite Hands,Steam,2025-01-19,0.0,0,0,0,0,"PC, Apple Macintosh","Casual, Strategy, Indie, Simulation"
SEXDIVERS 🔞,Steam,2025-01-25,0.0,0,1,528,1,PC,"Casual, Adventure, Action"
Pawns of War,Steam,2025-03-10,0.0,0,1,0,1,PC,"Indie, Strategy, Adventure, Action"
Fruit Stand Fortune,Steam,2025-01-24,0.0,0,1,0,1,PC,"Casual, Indie"
One Wild Futa Nightclub,Steam,2025-03-02,0.0,0,1,435,1,"PC, Apple Macintosh, Linux",Casual
NYXverse.AI,Steam,2025-01-28,0.0,0,0,116,0,PC,"Casual, Indie, RPG, Simulation"
Yasuke Simulator,Steam,2025-03-20,0.0,0,0,0,0,PC,"Casual, Action, Simulation"
NEEDY STREAMER OVERLOAD: Typing of The Net,Steam,2025-01-20,0.0,0,1,146,1,PC,"Casual, Indie, Action"
Glory Wall!,Steam,2025-02-21,0.0,0,0,65,0,PC,"Casual, Indie"
Hidden Cats: City,Steam,2025-03-07,0.0,0,1,162,1,"PC, Apple Macintosh, Linux",Casual
Castle of Blackwater,Steam,2025-03-25,0.0,0,0,161,0,"PC, Apple Macintosh","Action, RPG, Casual, Strategy, Indie"
REPOSE,"Steam, GOG",2025-04-14,0.0,0,1,101,1,PC,"Indie, Adventure, Action"
Stellar outpost commander,Steam,2025-04-22,0.0,0,1,440,1,PC,"Strategy, Indie, RPG, Simulation"
Kaizen: A Factory Story,Steam,2025-07-14,0.0,0,1,0,1,"PC, Apple Macintosh, Linux","Strategy, Simulation"
Unolingo Too,itch.io,2025-06-03,0.0,0,0,26,0,PC,"Educational, Adventure, Simulation, Puzzle"
Quartet (2025),Steam,2025-08-26,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Indie, Adventure, RPG"
Take Notes,Steam,2025-01-07,0.0,0,0,52,0,PC,Indie
Zefyr: A Thief's Melody,Steam,2025-06-02,0.0,0,0,430,0,PC,"Indie, Adventure, Action"
Trainatic,Steam,2025-09-08,0.0,0,0,82,0,PC,"Casual, Indie, Strategy, Adventure"
Jennifer's Lustful Journey,Steam,2025-01-31,0.0,0,1,493,1,PC,"Casual, Indie, Adventure"
Star Birds,Steam,2025-09-10,0.0,0,0,153,0,PC,"Casual, Strategy, Indie, Simulation"
SEX EXIT 🔞,Steam,2025-03-22,0.0,0,2,273,2,PC,"Casual, Adventure, Action"
Banker Simulator: Prologue,Steam,2025-06-05,0.0,0,0,0,0,PC,"Casual, Strategy, Indie, Simulation"
wizbuilder!,Steam,2025-04-25,0.0,0,0,85,0,PC,"Casual, Indie"
FIND ALL 7: Japan,Steam,2025-05-15,0.0,0,1,62,1,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure"
GRUEL,Steam,2025-03-05,0.0,0,1,141,1,PC,"Indie, Action"
Mother Machine,Steam,2025-03-26,0.0,0,0,235,0,PC,"Indie, Adventure, Action"
Bugtopia,Steam,2025-05-21,0.0,0,0,159,0,PC,"Casual, Indie, Simulation"
Passant: A Chess Roguelike,Steam,2025-08-11,0.0,0,0,0,0,PC,"Casual, Strategy, Indie"
Among Us 3D,Steam,2025-05-06,0.0,0,0,0,0,PC,Casual
Green Revival,Steam,2025-03-11,0.0,0,0,0,0,PC,"Indie, Strategy, Adventure"
Final Outpost: Definitive Edition,Steam,2025-05-22,0.0,0,0,351,1,"PC, Apple Macintosh, Linux","Strategy, Simulation"
I Know This Place..? (chapter II),Steam,2025-06-25,0.0,0,0,191,0,PC,"Indie, Adventure"
Trash Collector Simulator: Survive Edition,Steam,2025-07-03,0.0,0,1,200,1,PC,"Indie, Simulation"
Call of the Void,"Steam, GOG",2025-09-11,0.0,0,0,237,0,"PC, Apple Macintosh","Adventure, Action, Strategy, Simulation, Indie"
ANEURISM IV,Steam,2025-03-11,0.0,0,0,0,0,"PC, Apple Macintosh","Action, RPG, Simulation"
Dragon Ruins II,"Steam, GOG",2025-01-15,0.0,0,0,277,0,PC,"Casual, RPG"
One's Own Exile,Steam,2025-05-15,0.0,0,1,0,1,PC,"Indie, Adventure"
Mojika - Truth Rears Its Ugly Head,Steam,2025-03-31,0.0,0,0,96,0,PC,"Casual, Adventure"
Eyes of Hellfire,Steam,2025-08-27,0.0,0,0,278,0,"PC, Apple Macintosh","Strategy, RPG"
ILA: A Frosty Glide,Steam,2025-10-20,0.0,0,1,0,1,PC,"Adventure, Action, RPG, Casual, Indie"
Avernum 4: Greed and Glory,"Steam, GOG",2025-10-21,0.0,0,1,231,1,"PC, Apple Macintosh","Indie, Strategy, Adventure, RPG"
Snow x Hime,Steam,2025-10-08,0.0,0,1,456,1,PC,"Indie, Adventure, Action, RPG"
Beacon of Neyda,"Steam, GOG",2025-10-09,0.0,0,1,406,1,"PC, Linux","Indie, Strategy, Adventure, Action"
Milfy Way: Space Orgasm 🪐🔞,Steam,2025-07-19,0.0,0,1,522,1,PC,"Casual, Adventure, Simulation"
Aquilon Lust: Sex Arcana,Steam,2025-02-14,0.0,0,1,428,1,PC,"Indie, Adventure, RPG"
SteamDolls - Order Of Chaos,Steam,2025-02-11,0.0,0,0,219,0,PC,"Indie, Action"
Coal LLC,Steam,2025-09-11,0.0,0,0,35,0,"PC, Apple Macintosh","Strategy, Indie, Simulation"
Polandball Go,,2025-10-12,0.0,0,1,18,2,"iOS, Android",Strategy
Rogue Loops,Steam,2025-04-04,0.0,0,1,96,1,PC,"Adventure, Action, RPG"
Maliki: Poison Of The Past,"Steam, Nintendo Store",2025-04-22,0.0,0,0,419,0,"PC, Nintendo","Casual, Indie, Adventure, RPG"
Day of the Shell,"Steam, GOG",2025-07-28,0.0,0,1,230,1,PC,Strategy
Becoming a King,Steam,2025-10-24,0.0,0,1,0,1,PC,"Casual, Adventure, RPG, Simulation"
Bittersweet Birthday,"Steam, GOG",2025-11-10,0.0,0,0,152,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Action"
Mall Simulator,Steam,2025-11-03,0.0,0,0,44,0,PC,"Casual, Indie, Simulation"
Darkenstein 3D,Steam,2025-10-21,0.0,0,1,229,1,PC,"Adventure, Action"
WAR RATS: The Rat em Up,Steam,2025-04-22,0.0,0,0,402,1,PC,"Strategy, Action"
Queens Casino,Steam,2025-08-08,0.0,0,0,0,0,PC,"Adventure, RPG, Casual, Strategy, Indie"
Laura of Reigetsu,Steam,2025-06-06,0.0,0,0,225,0,PC,"Indie, Adventure, RPG"
Dream Cage,Steam,2025-02-06,0.0,0,0,0,0,PC,Adventure
Fire from the sky: Cagliari 1943 VR,Steam,2025-04-05,0.0,0,0,210,0,PC,Adventure
House of Lost Souls,Steam,2025-04-09,0.0,0,0,262,0,PC,Simulation
Football Heroes League,Steam,2025-05-01,0.0,0,0,0,0,PC,Sports
Flipper Frenzy,Steam,2025-05-14,0.0,0,0,0,0,PC,"Casual, Racing, Indie"
NoFlash,Steam,2025-05-12,0.0,0,0,55,0,PC,
Cosmic Coliseum,Steam,2025-05-15,0.0,0,1,459,1,PC,"Indie, Action"
KINGDOM CUM,Steam,2025-01-10,0.0,0,0,218,0,PC,"Indie, Adventure"
VTuberのQ,Steam,2025-05-08,0.0,0,0,0,0,PC,"Casual, Indie, Simulation"
Hordes of Hunger,Steam,2025-05-06,0.0,0,1,350,1,PC,"Casual, Action"
Re:Fragment ~Absolute Ambition~,Steam,2025-02-21,0.0,0,0,309,0,"PC, Apple Macintosh, Linux","Casual, Adventure"
The Fortress of Dr. Radiaki - Fancy Edition,Steam,2025-05-08,0.0,0,0,0,0,"PC, Linux",Action
Rusty Rabbit,Steam,2025-04-16,0.0,0,0,285,0,PC,Action
The Escape Room Chronicles ep3:The Southern Resort,Steam,2025-02-13,0.0,0,0,110,0,PC,Adventure
Aviassembly,Steam,2025-04-11,0.0,0,0,102,0,PC,Simulation
Skylax! The Lab Runner,Steam,2025-03-28,0.0,0,0,78,0,PC,"Casual, Indie, Adventure, Action"
The Deep Creep,Steam,2025-03-26,0.0,0,0,162,0,PC,Indie
qualia,Steam,2025-03-13,0.0,0,0,0,0,"PC, Apple Macintosh",Indie
Doodle Empires,Steam,2025-05-30,0.0,0,1,286,1,"PC, Apple Macintosh, Linux","Strategy, Indie, Simulation"
Underquest,Steam,2025-04-23,0.0,0,0,215,0,PC,"Adventure, Action, RPG, Casual, Strategy, Indie"
Time Space Rebuild,Steam,2025-05-19,0.0,0,0,129,0,PC,"Adventure, RPG, Strategy, Simulation, Indie"
Discolored 2,Steam,2025-01-08,0.0,0,0,292,1,PC,"Casual, Indie, Adventure"
Maskerade: The Deadpan Cry,Steam,2025-03-29,0.0,0,0,92,0,PC,"Casual, Adventure, Action"
Aliya's Awakening: DOGE 2042,Steam,2025-04-20,0.0,0,0,263,0,"PC, Apple Macintosh","Casual, Indie, Adventure"
Out of the Park Baseball 26,Steam,2025-03-14,0.0,0,1,21,1,"PC, Apple Macintosh","Strategy, Indie, Simulation, Sports"
Trump Trade War,Steam,2025-05-06,0.0,0,0,72,0,PC,"Indie, Adventure, Simulation"
Trump Horror,Steam,2025-05-06,0.0,0,0,261,0,PC,"Indie, Adventure, Simulation"
Out of Sight VR,Steam,2025-05-22,0.0,0,1,0,1,PC,"Indie, Adventure"
Cats of the Yuan Dynasty,Steam,2025-04-27,0.0,0,0,207,0,PC,Casual
Bask: The Alchemist Frog,Steam,2025-01-28,0.0,0,0,250,0,PC,"Casual, Indie, Adventure"
The Three Panels,,2025-02-15,0.0,0,1,51,1,,Action
CRAZLIPSE,Steam,2025-02-15,0.0,0,0,86,0,PC,"Indie, Adventure, Action"
Auto Adventures,Steam,2025-02-18,0.0,0,0,134,0,PC,"Casual, Strategy, Indie"
SongBird: FlingAThing,Steam,2025-02-28,0.0,0,0,47,0,PC,"Indie, Adventure"
Cats & Critters: A Dungeon Claw-er,Steam,2025-02-21,0.0,0,0,99,0,PC,"Casual, Adventure, Action"
Shameless Afterparty,Steam,2025-02-18,0.0,0,1,529,1,PC,"Casual, Indie, Adventure"
SHOTBALL,Steam,2025-02-20,0.0,0,0,159,0,PC,"Action, Sports"
Wheelborn,Steam,2025-02-17,0.0,0,0,247,0,"PC, Apple Macintosh","Indie, Adventure, Action"
The Dragon Odyssey,Steam,2025-02-28,0.0,0,0,0,0,PC,"Adventure, Action, RPG, Strategy, Massively Multiplayer"
Pohinki Simulator,Steam,2025-02-27,0.0,0,0,0,0,PC,"Casual, Indie, Adventure, Simulation"
Incest Tales: Sister And Mom,Steam,2025-01-22,0.0,0,1,188,1,PC,Indie
Biohazard: Siberia,Steam,2025-02-20,0.0,0,1,104,1,PC,Action
Nugget Royale,Steam,2025-02-26,0.0,0,0,410,0,"PC, Linux","Casual, Indie, Massively Multiplayer, Action"
Back in Service: a Metro Driver,Steam,2025-01-27,0.0,0,0,152,0,"PC, Apple Macintosh","Casual, Indie, Adventure, Simulation"
In Season,Steam,2025-03-20,0.0,0,0,0,0,PC,"Action, Casual, Strategy, Simulation, Indie"
Lost City of Bardo,Steam,2025-03-14,0.0,0,0,0,0,"PC, Apple Macintosh","Indie, Adventure"
Revenant: In Memory Of The Day,Steam,2025-03-19,0.0,0,0,213,0,PC,"Indie, Adventure, Simulation"
Rush Ultimate,Steam,2025-03-27,0.0,0,0,0,0,PC,"Racing, Indie"
All Abug!,Steam,2025-02-28,0.0,0,0,198,0,PC,"Casual, Indie, Adventure, Action"
Farm Wars,Steam,2025-01-15,0.0,0,0,0,0,PC,"Casual, Indie, Strategy, Adventure"
Whispers of the Eyeless,"Steam, GOG",2025-01-30,0.0,0,0,0,0,PC,"Indie, Strategy, Adventure, RPG"
PolyPine,Steam,2025-03-31,0.0,0,1,227,1,PC,"Casual, Indie, Simulation"
Magitech Requiem,Steam,2025-03-12,0.0,0,0,210,0,"PC, Linux","Strategy, Indie, Action, RPG"
Operation Blackout,Steam,2025-03-07,0.0,0,0,0,0,PC,Action
Incest Story: Mother and Aunt,Steam,2025-03-18,0.0,0,1,351,1,PC,Indie
BingeWatcher,,2025-04-10,0.0,0,0,0,0,,Puzzle
All in Abyss: Judge the Fake,Steam,2025-04-09,0.0,0,0,170,0,PC,"Indie, Adventure, RPG"
Arcane Investigations,Steam,2025-04-18,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure"
Trump Searching Vigaro,Steam,2025-03-17,0.0,0,0,0,0,PC,"Indie, Adventure"
Project 0.1,Steam,2025-03-31,0.0,0,0,49,0,PC,"Indie, Adventure, Action, RPG"
Kai UnEarthed,Steam,2025-04-04,0.0,0,0,100,0,PC,"Indie, Adventure"
Kill the Twister,Steam,2025-04-11,0.0,0,0,0,0,PC,"Casual, Indie, Action"
Super Technos World: River City & Technos Arcade Classics,Steam,2025-04-23,0.0,0,0,240,0,PC,"Action, RPG, Sports"
Your Dog Hitler,Steam,2025-04-28,0.0,0,0,0,0,PC,"Casual, Indie, RPG, Simulation"
BROKEN LIFE,Steam,2025-04-30,0.0,0,0,0,0,PC,"Casual, Indie, Adventure"
Interactive Sex - Queen Prince Incest,Steam,2025-03-24,0.0,0,0,493,0,"PC, Apple Macintosh, Linux","Casual, Indie, Simulation"
ちゅーちゅーパンケーキ,Steam,2025-05-19,0.0,0,0,190,0,PC,"Casual, Indie, Action"
SCP: REFINARIUM,itch.io,2025-06-03,0.0,0,0,0,0,"PC, Android, Apple Macintosh, Linux",Simulation
Numbra,Steam,2025-05-30,0.0,0,0,0,0,PC,"Adventure, Action"
The Bazaar (2025),,2025-02-01,0.0,0,1,66,1,,Board Games
Warfare Legacy Collection,Steam,2025-04-28,0.0,0,0,475,1,"PC, Apple Macintosh, Linux","Strategy, Action, Simulation"
Lost For Swords,Steam,2025-04-15,0.0,0,1,0,1,"PC, Linux","Strategy, Indie, RPG"
Shift'n Slay,Steam,2025-02-27,0.0,0,0,419,0,PC,"Strategy, RPG"
Bling Bling Bankruptcy,Steam,2025-05-01,0.0,0,0,0,0,PC,"Casual, Strategy, Indie, Simulation"
Prime World: Classic,Steam,2025-06-26,0.0,0,0,0,0,PC,"Strategy, Massively Multiplayer, Action, RPG"
Pick Me Pick Me,Steam,2025-05-28,0.0,0,0,0,0,"PC, Apple Macintosh","Casual, Indie"
No-good Streamer Mirai-chan! (Now accepting lewd comments),Steam,2025-06-25,0.0,0,0,151,0,PC,"Adventure, Simulation"
Call of Boba,Steam,2025-03-10,0.0,0,0,336,0,PC,"Adventure, Action, RPG, Casual, Simulation, Indie"
Moroi,Steam,2025-04-30,0.0,0,0,602,0,PC,Adventure
Detective Penguin,Steam,2025-04-15,0.0,0,0,169,0,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure, Action"
Girlfriend Saves the City,Steam,2025-07-21,0.0,0,0,52,0,PC,"Adventure, Action"
Tiny Aquarium: Social Fishkeeping,Steam,2025-06-23,0.0,0,0,241,0,"PC, Apple Macintosh, Linux","Casual, Indie, Massively Multiplayer, Simulation"
True Nightmare - Roadside Сafe,Steam,2025-07-21,0.0,0,0,172,0,PC,"Casual, Adventure"
The Fire Nobody Started,Steam,2025-02-17,0.0,0,1,401,1,PC,"Casual, Indie, Adventure"
It: Unstoppable,Steam,2025-08-08,0.0,0,0,240,0,PC,"Casual, Indie"
Mansion Affairs,Steam,2025-01-27,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Indie, Adventure"
PEAK (2025)!,,2025-06-16,0.0,0,1,0,1,,Indie
Femboy Feet,Steam,2025-03-03,0.0,0,0,67,0,PC,"Casual, Indie"
Corridor Exit 8,Steam,2025-06-27,0.0,0,0,0,0,"PC, Apple Macintosh","Casual, Indie, Strategy, Adventure"
Rocket delivery: Space Wok,Steam,2025-03-24,0.0,0,0,302,0,PC,Indie
Dice Making Ending,Steam,2025-03-20,0.0,0,0,0,0,PC,"Casual, Indie, Simulation"
A Sexy Tour With: Xiang,Steam,2025-06-27,0.0,0,0,324,0,PC,"Casual, Indie"
Future Breach 64,Steam,2025-01-04,0.0,0,0,280,0,"PC, Apple Macintosh","Action, Simulation"
The Campsite,Steam,2025-01-31,0.0,0,0,223,0,"PC, Apple Macintosh, Linux","Indie, Adventure"
BlockBlasters,Steam,2025-07-30,0.0,0,0,0,0,PC,"Indie, Strategy, Adventure, Action"
Islets Defense,Steam,2025-06-18,0.0,0,0,0,0,PC,Strategy
Kitchen Sync: Aloha!,Steam,2025-04-07,0.0,0,0,295,0,"PC, Apple Macintosh","RPG, Casual, Strategy, Simulation, Indie"
Whimside,Steam,2025-08-07,0.0,0,0,0,0,PC,"Casual, Indie"
Robot girl's dream -RobotBattleChampionship,Steam,2025-01-16,0.0,0,0,176,0,PC,"Adventure, RPG, Simulation"
For Sale,Steam,2025-01-17,0.0,0,1,125,1,"PC, Linux","Casual, Indie, Adventure"
The little Puzzle House,Steam,2025-01-22,0.0,0,0,32,0,PC,Indie
The elevator,Steam,2025-01-30,0.0,0,1,91,1,PC,"Indie, Adventure"
The Paradixion: Restroom,Steam,2025-02-11,0.0,0,0,137,0,PC,"Indie, Adventure"
Sancticide,Steam,2025-02-12,0.0,0,0,124,0,PC,"Indie, Action, RPG"
Crazy Islands,Steam,2025-01-17,0.0,0,0,254,0,PC,"Adventure, Action, Casual, Strategy, Simulation, Indie"
CrumbleMiner,Steam,2025-01-31,0.0,0,0,99,0,PC,"Casual, Indie, Adventure, Action"
ShapeShifter,Steam,2025-02-06,0.0,0,0,126,0,PC,"Indie, Adventure, Action"
FleshBound,Steam,2025-01-03,0.0,0,0,77,0,PC,Action
ある日の子ザメ,,2025-06-28,0.0,0,0,0,1,PC,"Casual, Indie"
All Aboard! The Train Defense Express,Steam,2025-03-05,0.0,0,0,0,0,PC,"Casual, Strategy, Indie, Simulation"
Bean Beasts,Steam,2025-08-21,0.0,0,0,124,0,"PC, Apple Macintosh","Adventure, Action, Casual, Strategy, Indie"
Book Shooter,Steam,2025-08-22,0.0,0,0,0,0,PC,"Casual, Strategy, Indie, RPG"
Gooning Aim Trainer,Steam,2025-02-05,0.0,0,0,173,0,PC,"Casual, Indie, Action"
Night Club Simulator,Steam,2025-07-30,0.0,0,0,512,0,PC,"Indie, Simulation"
World War Z VR,Steam,2025-08-12,0.0,0,0,140,0,PC,"Adventure, Action"
Photo Studio Simulator,Steam,2025-08-14,0.0,0,0,435,0,PC,"Casual, Indie, Simulation"
LIFE EFFECT,Steam,2025-02-14,0.0,0,0,576,0,PC,"Indie, Adventure, Action"
Ikarus Parkour,"Steam, GOG",2025-07-31,0.0,0,0,0,0,PC,"Indie, Action"
Ark Re:Code,Steam,2025-08-26,0.0,0,0,0,0,PC,"Casual, Action, RPG"
无尽星火 (Star Fire: Eternal Cycle),Steam,2025-09-08,0.0,0,0,0,0,,Action
101 Cats Hidden in Hong Kong,Steam,2025-05-06,0.0,0,1,11,1,PC,"Casual, Indie"
Superhero Cats,Steam,2025-03-28,0.0,0,1,53,1,"PC, Linux","Casual, Indie"
Star Mission: Remote Sectors,Steam,2025-05-21,0.0,0,1,449,1,PC,"Adventure, Action"
Crisis in the Kremlin: The Cold War,Steam,2025-07-11,0.0,0,0,258,0,"PC, Apple Macintosh, Linux","Strategy, Indie, Simulation"
52 / 0 = ∞,Steam,2025-07-03,0.0,0,0,197,0,"PC, Apple Macintosh, Linux","Indie, Adventure"
Skatehouse,Steam,2025-08-11,0.0,0,0,120,0,PC,Simulation
Dungeon Explorers,Steam,2025-07-24,0.0,0,1,575,1,PC,"Indie, Adventure, RPG"
School 666,Steam,2025-06-11,0.0,0,0,329,0,PC,"Indie, Adventure, Action"
Sofia in Exchange for Lies,Steam,2025-07-02,0.0,0,0,134,0,PC,Adventure
INtLOVErt Game Club,Steam,2025-05-04,0.0,0,0,157,0,"PC, Apple Macintosh","Indie, Simulation"
Titan Isles,Steam,2025-09-25,0.0,0,0,0,0,PC,"Adventure, Action"
Six-Ear Macaque: Awakening,Steam,2025-03-24,0.0,0,1,0,1,PC,"Casual, Indie, Action, RPG"
BATTLE OF REBELS,Steam,2025-09-26,0.0,0,0,433,0,PC,"Indie, Action"
Asfalia: Fear,Steam,2025-01-14,0.0,0,0,0,0,"PC, Apple Macintosh","Indie, Adventure"
The Diary,Steam,2025-06-20,0.0,0,0,0,0,"PC, Apple Macintosh","Casual, Indie, RPG, Simulation"
"Don't Die, Collect Loot","Steam, GOG",2025-09-18,0.0,0,0,271,0,PC,"Adventure, Action, RPG, Casual, Indie"
Little Wings Deliveries,Steam,2025-03-31,0.0,0,0,229,0,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure"
Interactive Sex - Threesome,Steam,2025-07-26,0.0,0,0,193,0,"PC, Apple Macintosh, Linux","Casual, Adventure, Simulation"
Hachishaku,Steam,2025-05-01,0.0,0,0,0,0,PC,Adventure
Morse Academy,Steam,2025-04-01,0.0,0,0,57,1,"PC, Apple Macintosh, Linux",Indie
Evolve Lab,Steam,2025-08-29,0.0,0,0,0,0,PC,"Strategy, Indie"
Rise of Industry 2,Steam,2025-06-03,0.0,0,0,0,0,PC,"Strategy, Indie, Simulation"
Interactive Sex - Daddy Daughter Incest,Steam,2025-02-28,0.0,0,0,411,0,"PC, Apple Macintosh, Linux","Casual, Indie, Simulation"
Barbie Horse Trails,Steam,2025-10-10,0.0,0,0,0,0,PC,"Casual, Adventure, Action"
Lost Rift,Steam,2025-09-25,0.0,0,0,522,0,PC,"Adventure, Action, Simulation, Indie, Massively Multiplayer"
火起雪中寺,Steam,2025-05-19,0.0,0,1,0,1,PC,"Indie, Adventure"
CuckTales 🐓,Steam,2025-03-28,0.0,0,0,374,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Simulation"
Donkey Kong Bananza: DK Island & Emerald Rush (DLC),,2025-09-12,0.0,0,1,0,1,Nintendo,Adventure
Pip My Dice,Steam,2025-07-25,0.0,0,0,107,0,"PC, Linux","Casual, Strategy, Indie"
Knock On The Window,Steam,2025-09-11,0.0,0,1,0,1,PC,"Casual, Indie, Adventure"
Sakura Bunny Girls 2,Steam,2025-05-26,0.0,0,0,477,0,"PC, Linux","Action, Simulation"
Antivirus PROTOCOL,Steam,2025-09-17,0.0,0,0,113,0,PC,"Action, Casual, Strategy, Simulation, Indie"
Road To Empress,Steam,2025-09-08,0.0,0,1,0,1,PC,"Adventure, RPG, Casual, Simulation, Indie"
Hidden Portals: Eternal Balance Collector's Edition,Steam,2025-08-19,0.0,0,1,0,1,PC,"Casual, Adventure"
VeryVeryHouse,Steam,2025-08-08,0.0,0,0,163,0,PC,"Casual, Indie, Adventure"
Climb The Backrooms,Steam,2025-07-11,0.0,0,0,125,0,PC,"Casual, Adventure"
Platypus Reclayed,Steam,2025-09-17,0.0,0,1,0,1,"PC, Apple Macintosh","Indie, Action"
Sorry! I surrounded beauty!,Steam,2025-04-10,0.0,0,1,0,1,"PC, Apple Macintosh","RPG, Casual, Strategy, Simulation, Indie"
Loot Line - Season 1,GOG,2025-06-12,0.0,0,0,0,0,"PC, Apple Macintosh, Linux",
Rise Eterna 2,"Steam, GOG",2025-10-09,0.0,0,0,107,0,PC,"Adventure, Action, RPG, Casual, Strategy"
Locks,Steam,2025-02-05,0.0,0,0,137,0,PC,"Indie, Adventure"
Eterspire,Steam,2025-09-15,0.0,0,0,0,0,PC,"Adventure, Action, RPG, Indie, Massively Multiplayer"
The Vault: Logic Puzzle Box,Steam,2025-07-07,0.0,0,1,185,1,"PC, Apple Macintosh",Casual
Campus Life,Steam,2025-09-15,0.0,0,1,0,1,PC,"Casual, Indie, Simulation"
Starlight Legacy,"Steam, GOG",2025-02-04,0.0,0,0,195,0,"PC, Apple Macintosh, Linux","Indie, RPG"
Sin Spire,,2025-10-01,0.0,0,1,0,1,PC,"Shooter, Action"
Lost Lullabies: The Orphanage Chronicles,Steam,2025-03-07,0.0,0,0,414,0,PC,"Indie, Adventure, Action"
Fragrance Point,Steam,2025-01-16,0.0,0,0,0,0,PC,Indie
MILF Sex House,Steam,2025-10-10,0.0,0,1,450,1,PC,Indie
Couples 18+,,2025-09-30,0.0,0,1,58,1,,Action
Slots & Daggers Spin,,2025-10-24,0.0,0,0,0,0,,"Casual, Strategy"
Lords of Ravage,"Steam, GOG",2025-10-15,0.0,0,0,554,0,"PC, Linux","Indie, Strategy, Adventure, RPG"
Riddlewood Manor,Steam,2025-10-22,0.0,0,0,138,0,"PC, Apple Macintosh","Indie, Adventure"
Meeting a Hunk in the Park,Steam,2025-02-07,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure, Simulation"
